 ,rdate,price,display,ram,rom,chipname,chipdetails,fr_ap,fr_pxsize,fr_res,rear_res1,rear_res2,rear_res3,rear_res4,rear_ap1,rear_ap2,rear_ap3,rear_ap4,rear_px1,rear_px2,rear_px3,rear_px4,fr_video,rear_video
Xiaomi Mi 10S ,"2021, March 10",About 430 EUR,"AMOLED, 90Hz, HDR10+, 500 nits (typ), 1120 nits (peak)",8GB,128GB,Qualcomm SM8250-AC Snapdragon 870 5G (7 nm),Octa-core (1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585), (wide), 0.8µm,20 MP,108 MP,13 MP,2 MP,2 MP, f/1.7, f/2.4, f/2.4, f/2.4, 26mm (wide), 123˚ (ultrawide), (macro), (depth)</br></br></br></td>,"8K@30fps, 4K@30/60fps, 1080p@30/60/120fps; gyro-EIS","1080p@30fps, 720p@120fps"
Xiaomi Redmi Note 10 Pro ,"2021, March 04",$ 308.00 / £ 249.00 / € 244.86,"AMOLED, 120Hz, HDR10, 450 nits (typ), 1200 nits (peak)",6GB,64GB,Qualcomm SM7150 Snapdragon 732G (8 nm),Octa-core (2x2.3 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver), f/2.5, 1.0µm,16 MP,108 MP,8 MP,5 MP,2 MP, f/1.9, f/2.2, f/2.4, f/2.4, 26mm (wide), 1.12µm, AF, (depth)</br></br></br></td>,"4K@30fps, 1080p@30/60fps","1080p@30fps, 720p@120fps"
Xiaomi Redmi Note 10 5G ,"2021, March 04",$ 211.82 / £ 199.11 / € 215.80,"IPS LCD, 90Hz, 400 nits (typ), 500 nits (HBM)",4GB,64GB,MediaTek MT6833 Dimensity 700 5G (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55), f/2.0, (wide),8 MP,48 MP,2 MP,2 MP,2 MP, f/1.8, f/2.4, f/2.4, f/2.4, 26mm (wide), (macro), (depth)</br></br></td>, (depth)</br></br></td>,1080p@30fps,1080p@30fps
Xiaomi Redmi Note 10S ,"2021, March 04","₹ 14,999 / $ 220.00 / £ 226.26 / € 191.00","AMOLED, 450 nits (typ), 1100 nits (peak)",6GB,64GB,Mediatek Helio G95 (12 nm),Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55), f/2.5, 1.12µm,13 MP,64 MP,8 MP,2 MP,2 MP, f/1.8, f/2.2, f/2.4, f/2.4, 26mm (wide), 1.12µm, (macro), (depth)</br></br></br></td>,"4K@30fps, 1080p@30/60/120fps, 720p@960fps",1080p@30fps
Xiaomi Redmi Note 10 ,"2021, March 04","₹ 13,999 / $ 189.99 / £ 187.06 / € 217.74","Super AMOLED, 450 nits (typ), 1100 nits (peak)",4GB,64GB,Qualcomm SDM678 Snapdragon 678 (11 nm),Octa-core (2x2.2 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver), f/2.5, 1.12µm,13 MP,48 MP,8 MP,2 MP,2 MP, f/1.8, f/2.2, f/2.4, f/2.4, 26mm (wide), 1.12µm, (macro), (depth)</br></br></br></td>,"4K@30fps, 1080p@30/60fps",1080p@30fps
Xiaomi Redmi Note 10 Pro Max ,"2021, March 04","₹ 19,999","Super AMOLED, 120Hz, HDR10, 450 nits (typ), 1200 nits (peak)",6GB,64GB,Qualcomm SM7150 Snapdragon 732G (8 nm),Octa-core (2x2.3 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver), f/2.5, 1.0µm,16 MP,108 MP,8 MP,5 MP,2 MP, f/1.9, f/2.2, f/2.4, f/2.4, 26mm (wide), 1.12µm, (macro), (depth)</br></br></br></td>,"4K@30fps, 1080p@30/60/120fps, 720p@960fps",1080p@30fps
Xiaomi Redmi Note 10 Pro (India) ,"2021, March 04","₹ 17,999","Super AMOLED, 120Hz, HDR10, 450 nits (typ), 1200 nits (peak)",6GB,64GB,Qualcomm SM7150 Snapdragon 732G (8 nm),Octa-core (2x2.3 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver), f/2.5, 1.0µm,16 MP,64 MP,8 MP,5 MP,2 MP, f/1.9, f/2.2, f/2.4, f/2.4, 26mm (wide), 1.12µm, (macro), (depth)</br></br></br></td>,"4K@30fps, 1080p@30/60/120fps, 720p@960fps",1080p@30fps
Xiaomi Redmi K40 Pro+ ,"2021, February 25",$ 789.99,"Super AMOLED, 120Hz, HDR10+, 1300 nits (peak)",12GB,256GB,Qualcomm SM8350 Snapdragon 888 5G (5 nm),Octa-core (1x2.84 GHz Kryo 680 & 3x2.42 GHz Kryo 680 & 4x1.80 GHz Kryo 680), f/2.5, 0.8µm,20 MP,108 MP,8 MP,5 MP,5 MP, f/1.8, f/2.2, f/2.4, f/2.4, 26mm (wide), 119˚ (ultrawide), 1.12µm</br></br></td>, 1.12µm</br></br></td>,"8K@30fps, 4K@30/60fps, 1080p@30/60/120/240/960fps, gyro-EIS, HDR10+","1080p@30fps, 720p@120fps"
Xiaomi Redmi K40 Pro ,"2021, February 25",$ 549.99,"Super AMOLED, 120Hz, HDR10+, 1300 nits (peak)",6GB,128GB,Qualcomm SM8350 Snapdragon 888 5G (5 nm),Octa-core (1x2.84 GHz Kryo 680 & 3x2.42 GHz Kryo 680 & 4x1.80 GHz Kryo 680), f/2.5, 0.8µm,20 MP,64 MP,8 MP,5 MP,5 MP, f/1.9, f/2.2, f/2.4, f/2.4, 26mm (wide), 119˚ (ultrawide), 1.12µm</br></br></td>, 1.12µm</br></br></td>,"8K@30fps, 4K@30/60fps, 1080p@30/60/120/240/960fps, gyro-EIS, HDR10+","1080p@30fps, 720p@120fps"
Xiaomi Redmi K40 ,"2021, February 25",$ 435.99,"Super AMOLED, 120Hz, HDR10+, 1300 nits (peak)",6GB,128GB,Qualcomm SM8250-AC Snapdragon 870 5G (7 nm),Octa-core (1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585), f/2.5, 0.8µm,20 MP,48 MP,8 MP,5 MP,5 MP, f/1.8, f/2.2, f/2.4, f/2.4, 26mm (wide), 119˚ (ultrawide), 1.12µm</br></br></td>, 1.12µm</br></br></td>,"4K@30fps, 1080p@30/60/120/240/960fps, gyro-EIS","1080p@30fps, 720p@120fps"
Xiaomi Redmi Note 9T ,"2021, January 08",$ 199.98 / £ 179.89 / € 202.99,"IPS LCD, 450 nits (typ)",4GB,64GB,MediaTek MT6853 Dimensity 800U 5G (7 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55), f/2.3, 1.12µm,13 MP,48 MP,2 MP,2 MP,2 MP, f/1.8, f/2.4, f/2.4, f/2.4, 26mm (wide), (macro), (depth)</br></br></td>, (depth)</br></br></td>,"4K@30fps, 1080p@30/60fps",1080p@30fps
All Xiaomi phones ,,,,,,,,,,,,,,,,,,,,,,,,
All Xiaomi phones ,,,,,,,,,,,,,,,,,,,,,,,,
All Xiaomi phones ,,,,,,,,,,,,,,,,,,,,,,,,
All Xiaomi phones ,,,,,,,,,,,,,,,,,,,,,,,,
All Xiaomi phones ,,,,,,,,,,,,,,,,,,,,,,,,
GSMArena.com ,,,,,,,,,,,,,,,,,,,,,,,,
All Xiaomi phones ,,,,,,,,,,,,,,,,,,,,,,,,
Phone Finder ,,,,,,,,,,,,,,,,,,,,,,,,
